location,total_sqft,bath,price,BHK,price_per_sqft
Bisuvanahalli,1075.0,2.0,50.0,3.0,4651.162790697675
Kannamangala,1574.0,3.0,93.34,3.0,5930.114358322745
Sanjay nagar,965.0,1.0,32.0,1.0,3316.062176165803
Marathahalli,1550.0,3.0,83.0,3.0,5354.8387096774195
other,1205.0,2.0,60.0,2.0,4979.253112033195
Kambipura,1082.0,2.0,55.0,3.0,5083.179297597043
Uttarahalli,1215.0,2.0,52.85,3.0,4349.794238683127
Hebbal,2483.0,5.0,230.0,4.0,9262.988320579943
other,1200.0,3.0,46.14,2.0,3845.0
,,,,,
1st Block Koramangala,2360.0,4.0,600.0,4.0,25423.728813559323
Ardendale,3198.0,4.0,250.0,4.0,7817.385866166354
Kanakpura Road,1452.0,3.0,60.98,3.0,4199.724517906336
Electronic City Phase II,1329.0,2.0,41.0,3.0,3085.0263355906695
other,1125.0,2.0,44.0,2.0,3911.1111111111113
other,1200.0,2.0,70.0,2.0,5833.333333333333
Sarjapur  Road,1350.0,3.0,39.97,3.0,2960.740740740741
,,,,,
Hebbal,2600.0,3.0,195.0,3.0,7500.0
other,1200.0,2.0,160.0,2.0,13333.333333333334
Electronic City Phase II,1220.0,3.0,35.23,3.0,2887.7049180327863
Pai Layout,1255.0,2.0,80.0,2.0,6374.501992031873
other,1904.0,3.0,155.0,3.0,8140.756302521008
Somasundara Palya,1329.0,2.0,70.0,2.0,5267.11813393529
Chandapura,1200.0,2.0,60.0,2.0,5000.0
Murugeshpalya,2135.0,3.0,160.0,3.0,7494.145199063232
other,2770.0,4.0,315.0,3.0,11371.841155234657
other,813.0,1.0,39.0,1.0,4797.047970479704
other,3884.0,4.0,240.0,4.0,6179.196704428425
Doddaballapur,3876.0,3.0,300.0,3.0,7739.938080495356
Kalena Agrahara,800.0,2.0,30.0,2.0,3750.0
other,4750.0,2.0,120.0,4.0,2526.315789473684
Hormavu,1500.0,3.0,70.0,3.0,4666.666666666667
Bannerghatta Road,1880.0,3.0,95.0,3.0,5053.191489361702
Electronic City,1440.0,2.0,55.0,3.0,3819.4444444444443
Akshaya Nagar,1575.0,3.0,90.0,3.0,5714.285714285715
other,1630.0,2.0,97.78,3.0,5998.773006134969
Yelahanka,1180.0,3.0,55.0,3.0,4661.016949152542
Nagadevanahalli,1090.0,2.0,36.0,2.0,3302.7522935779816
NGR Layout,1020.0,2.0,48.45,2.0,4750.0
other,2425.0,4.0,173.0,4.0,7134.020618556701
Varthur,1097.0,2.0,33.82,2.0,3082.9535095715587
Raja Rajeshwari Nagar,1070.0,2.0,50.0,2.0,4672.897196261682
Kumaraswami Layout,1000.0,2.0,58.0,2.0,5800.0
Hoodi,1120.0,8.0,150.0,8.0,13392.857142857143
other,1150.0,2.0,56.0,2.0,4869.565217391304
Frazer Town,1900.0,4.0,145.0,3.0,7631.578947368421
other,1141.0,2.0,49.0,2.0,4294.478527607362
Jigani,937.0,2.0,44.0,2.0,4695.837780149413
Green Glen Layout,1075.0,2.0,60.0,2.0,5581.395348837209
Panathur,1000.0,2.0,65.3,2.0,6530.0
Kasavanhalli,1450.0,3.0,77.41,3.0,5338.620689655172
Yelachenahalli,897.0,2.0,85.0,5.0,9476.03121516165
other,1280.0,2.0,75.0,2.0,5859.375
Babusapalaya,1050.0,2.0,45.0,2.0,4285.714285714285
Marathahalli,1350.0,2.0,86.0,2.0,6370.37037037037
Mallasandra,1325.0,2.0,70.0,2.0,5283.018867924528
Devanahalli,1174.0,2.0,59.0,2.0,5025.553662691653
Hosur Road,1890.0,3.0,162.0,3.0,8571.42857142857
other,735.0,1.0,75.0,1.0,10204.081632653062
other,500.0,1.0,24.0,1.0,4800.0
Gottigere,1304.0,3.0,80.0,3.0,6134.9693251533745
Yelahanka,1653.0,3.0,120.0,3.0,7259.528130671506
7th Phase JP Nagar,1212.0,3.0,42.0,2.0,3465.3465346534654
other,1100.0,2.0,50.0,2.0,4545.454545454545
Rajaji Nagar,3436.0,6.0,500.0,4.0,14551.804423748545
other,1200.0,4.0,145.0,3.0,12083.333333333334
Billekahalli,1140.0,2.0,50.0,2.0,4385.964912280701
other,1200.0,2.0,100.0,2.0,8333.333333333334
Kudlu Gate,1532.0,3.0,83.0,3.0,5417.754569190601
Doddaballapur,2776.0,4.0,195.0,3.0,7024.495677233429
Padmanabhanagar,1531.0,2.0,75.0,3.0,4898.758981058132
Poorna Pragna Layout,1270.0,2.0,50.79,3.0,3999.212598425197
Uttarahalli,1325.0,2.0,53.0,2.0,4000.0
other,1200.0,3.0,160.0,3.0,13333.333333333334
Electronic City,1156.0,2.0,44.0,3.0,3806.2283737024222
R.T. Nagar,2000.0,4.0,320.0,4.0,16000.0
Bannerghatta Road,1260.0,2.0,70.0,2.0,5555.555555555556
Vittasandra,1934.0,2.0,90.0,2.0,4653.567735263702
Malleshpalya,1060.0,2.0,40.0,2.0,3773.5849056603774
Kasavanhalli,1476.0,3.0,95.0,3.0,6436.314363143631
Murugeshpalya,1185.0,2.0,85.0,2.0,7172.995780590717
other,1265.0,2.0,82.0,3.0,6482.213438735178
other,3200.0,5.0,150.0,4.0,4687.5
other,1196.0,2.0,56.81,2.0,4750.0
EPIP Zone,1280.0,2.0,69.0,2.0,5390.625
Marathahalli,800.0,4.0,86.0,4.0,10750.0
Hulimavu,1175.0,2.0,45.0,2.0,3829.7872340425533
other,1850.0,3.0,98.0,3.0,5297.2972972972975
Indira Nagar,2400.0,4.0,525.0,4.0,21875.0
Whitefield,1195.0,2.0,70.0,2.0,5857.740585774059
Ulsoor,2000.0,3.0,185.0,3.0,9250.0
,,,,,
Hebbal Kempapura,800.0,5.0,155.0,4.0,19375.0
Hosur Road,1180.0,2.0,36.5,2.0,3093.2203389830506
Jakkur,1050.0,2.0,49.87,2.0,4749.523809523809
Electronic City,1400.0,2.0,40.44,3.0,2888.5714285714284
other,2360.0,4.0,150.0,4.0,6355.932203389831
other,1030.0,2.0,77.25,2.0,7500.0
other,1512.0,1.0,65.01,2.0,4299.603174603175
Subramanyapura,929.0,2.0,48.0,2.0,5166.846071044133
Jigani,1252.0,3.0,61.0,3.0,4872.20447284345
Green Glen Layout,1485.0,3.0,115.0,3.0,7744.107744107744
Electronics City Phase 1,1124.0,2.0,55.0,3.0,4893.238434163701
TC Palaya,2400.0,6.0,370.0,6.0,15416.666666666666
Indira Nagar,1407.0,3.0,120.0,3.0,8528.784648187633
Hennur Road,1482.0,2.0,97.0,3.0,6545.209176788124
Sector 7 HSR Layout,1163.0,2.0,98.86,2.0,8500.42992261393
Jalahalli,1570.0,3.0,140.0,3.0,8917.197452229299
Whitefield,3480.0,4.0,284.0,3.0,8160.919540229885
Chandapura,520.0,1.0,14.04,1.0,2700.0
other,2000.0,3.0,160.0,3.0,8000.0
Prithvi Layout,1352.0,2.0,75.0,2.0,5547.337278106509
Electronic City,1152.0,2.0,65.0,2.0,5642.361111111111
other,1575.0,3.0,93.0,3.0,5904.761904761905
Hegde Nagar,1965.0,4.0,125.0,3.0,6361.323155216285
other,1300.0,2.0,70.0,3.0,5384.615384615385
,,,,,
Marathahalli,957.0,2.0,47.0,2.0,4911.180773249739
Hoskote,1740.0,3.0,60.0,3.0,3448.2758620689656
Kanakpura Road,1080.0,6.0,65.0,5.0,6018.518518518518
Neeladri Nagar,1060.0,2.0,35.0,2.0,3301.8867924528304
other,975.0,2.0,50.0,2.0,5128.205128205128
Ramamurthy Nagar,1150.0,2.0,51.0,2.0,4434.782608695652
Whitefield,1738.0,2.0,79.0,3.0,4545.454545454545
Bommanahalli,1250.0,3.0,55.0,3.0,4400.0
Bannerghatta Road,1788.0,3.0,90.0,3.0,5033.557046979866
Kanakapura,1151.0,2.0,59.0,2.0,5125.977410947003
Uttarahalli,1300.0,2.0,60.0,3.0,4615.384615384615
Garudachar Palya,1150.0,2.0,52.8,2.0,4591.304347826087
other,1380.0,2.0,75.0,2.0,5434.782608695652
Hebbal,1645.0,3.0,117.0,3.0,7112.462006079028
Babusapalaya,1141.0,2.0,45.9,2.0,4022.787028921998
7th Phase JP Nagar,1175.0,2.0,82.5,2.0,7021.276595744681
Banashankari Stage V,1355.0,2.0,61.0,3.0,4501.845018450184
Dasarahalli,1150.0,2.0,70.0,2.0,6086.95652173913
,,,,,
other,1000.0,2.0,45.0,2.0,4500.0
Balagere,1007.0,2.0,65.0,2.0,6454.816285998014
other,3000.0,5.0,100.0,4.0,3333.3333333333335
Kothanur,1436.0,3.0,70.0,3.0,4874.651810584958
Marathahalli,4000.0,4.0,220.0,4.0,5500.0
Somasundara Palya,2372.0,3.0,140.0,3.0,5902.192242833053
R.T. Nagar,1500.0,6.0,240.0,6.0,16000.0
,,,,,
Rajaji Nagar,1200.0,2.0,150.0,2.0,12500.0
Rayasandra,1016.0,2.0,58.0,2.0,5708.6614173228345
Dodda Nekkundi,1100.0,2.0,48.0,2.0,4363.636363636364
other,1080.0,2.0,45.0,2.0,4166.666666666667
Electronic City,1070.0,2.0,60.0,2.0,5607.476635514019
Kadubeesanahalli,1532.0,3.0,115.0,3.0,7506.527415143603
Hennur,1040.0,2.0,42.12,2.0,4050.0
other,3100.0,3.0,250.0,3.0,8064.5161290322585
,,,,,
Thanisandra,1430.0,2.0,51.6,3.0,3608.3916083916083
Rajaji Nagar,1160.0,1.0,163.0,2.0,14051.724137931034
ITPL,3262.0,5.0,205.0,4.0,6284.488044144697
other,2100.0,7.0,410.0,7.0,19523.809523809523
other,1190.0,2.0,100.0,2.0,8403.361344537816
other,1827.0,3.0,100.0,3.0,5473.453749315819
HRBR Layout,1210.0,2.0,75.0,2.0,6198.347107438017
other,1500.0,3.0,95.0,3.0,6333.333333333333
Rachenahalli,1050.0,2.0,53.5,2.0,5095.238095238095
Hebbal,1251.0,2.0,88.73,2.0,7092.725819344524
HSR Layout,1600.0,2.0,115.0,3.0,7187.5
Electronic City,1128.0,2.0,65.5,2.0,5806.737588652482
Budigere,1820.0,3.0,93.0,3.0,5109.89010989011
Thigalarapalya,2072.0,4.0,159.0,3.0,7673.745173745174
Raja Rajeshwari Nagar,1510.0,2.0,59.0,3.0,3907.2847682119204
Hoodi,1925.0,2.0,114.0,3.0,5922.077922077922
Hennur Road,2651.0,2.0,225.0,3.0,8487.36325914749
Thigalarapalya,2072.0,4.0,147.0,3.0,7094.594594594595
Kumaraswami Layout,1000.0,2.0,36.0,2.0,3600.0
KR Puram,1752.0,3.0,145.0,3.0,8276.255707762557
Sahakara Nagar,960.0,2.0,56.0,2.0,5833.333333333333
other,1180.0,2.0,63.0,2.0,5338.983050847458
Benson Town,2270.0,3.0,180.0,3.0,7929.515418502203
NRI Layout,650.0,2.0,59.0,2.0,9076.923076923076
Lakshminarayana Pura,1200.0,2.0,75.0,2.0,6250.0
Bisuvanahalli,1180.0,2.0,46.0,3.0,3898.3050847457625
other,1300.0,3.0,47.0,3.0,3615.3846153846152
Bannerghatta Road,1157.0,2.0,40.0,2.0,3457.216940363008
Kanakpura Road,1300.0,3.0,69.0,3.0,5307.692307692308
Banashankari Stage III,1305.0,2.0,59.0,3.0,4521.072796934866
Hegde Nagar,2006.0,4.0,196.0,3.0,9770.687936191425
Jakkur,1290.0,2.0,80.0,2.0,6201.550387596899
Hoskote,1170.0,2.0,45.0,2.0,3846.153846153846
other,971.0,2.0,135.0,4.0,13903.192584963954
Yelachenahalli,1400.0,2.0,78.0,2.0,5571.428571428572
Lakshminarayana Pura,1200.0,2.0,75.0,2.0,6250.0
other,1155.0,2.0,60.0,3.0,5194.805194805195
Hormavu,1725.0,3.0,85.0,3.0,4927.536231884058
Kanakpura Road,700.0,2.0,40.0,2.0,5714.285714285715
other,7000.0,5.0,2050.0,4.0,29285.714285714286
Hoodi,1112.0,2.0,88.0,2.0,7913.669064748202
Somasundara Palya,1178.0,2.0,78.0,2.0,6621.392190152801
Badavala Nagar,1274.0,2.0,81.0,2.0,6357.9277864992155
Doddathoguru,915.0,2.0,32.0,2.0,3497.2677595628415
6th Phase JP Nagar,1650.0,6.0,135.0,8.0,8181.818181818182
Hosur Road,760.0,1.0,21.28,1.0,2800.0
other,1540.0,3.0,68.0,3.0,4415.584415584415
other,1206.0,2.0,38.5,2.0,3192.3714759535656
other,1645.0,3.0,95.0,3.0,5775.075987841945
other,1200.0,4.0,170.0,4.0,14166.666666666666
other,1200.0,4.0,140.0,4.0,11666.666666666666
Nehru Nagar,2342.0,3.0,115.0,4.0,4910.333048676345
other,1200.0,2.0,55.0,3.0,4583.333333333333
Yelenahalli,1056.0,2.0,33.0,2.0,3125.0
Raja Rajeshwari Nagar,4800.0,8.0,225.0,8.0,4687.5
Kanakpura Road,1450.0,3.0,54.3,3.0,3744.8275862068967
other,1161.0,2.0,36.69,2.0,3160.206718346253
other,1097.0,2.0,65.0,2.0,5925.2506836827715
Uttarahalli,850.0,2.0,35.0,2.0,4117.64705882353
Green Glen Layout,1715.0,3.0,115.0,3.0,6705.539358600583
Basavangudi,2300.0,3.0,317.0,3.0,13782.608695652174
Electronic City,1200.0,2.0,59.0,2.0,4916.666666666667
8th Phase JP Nagar,1080.0,2.0,38.0,2.0,3518.5185185185187
Kasavanhalli,1200.0,2.0,50.3,2.0,4191.666666666667
other,2400.0,4.0,550.0,4.0,22916.666666666668
Whitefield,1500.0,4.0,200.0,4.0,13333.333333333334
,,,,,
Marathahalli,1230.0,2.0,57.0,2.0,4634.1463414634145
Kalyan nagar,1640.0,3.0,88.0,3.0,5365.8536585365855
Banashankari,1700.0,3.0,125.0,3.0,7352.941176470588
Bommasandra,1478.0,2.0,44.0,3.0,2976.9959404600813
other,6600.0,4.0,986.0,4.0,14939.39393939394
Banashankari,1020.0,2.0,40.79,2.0,3999.0196078431372
Nagarbhavi,1200.0,2.0,150.0,2.0,12500.0
Yelahanka,1275.0,2.0,95.0,3.0,7450.980392156863
Kanakapura,1110.0,2.0,38.85,2.0,3500.0
Uttarahalli,1627.86,3.0,88.0,3.0,5405.87028368533
other,620.0,2.0,22.0,2.0,3548.3870967741937
Whitefield,3004.0,4.0,285.0,4.0,9487.350199733688
Hosa Road,1133.0,2.0,52.0,2.0,4589.585172109444
Hennur Road,1182.0,2.0,82.5,2.0,6979.6954314720815
Tumkur Road,1500.0,3.0,100.0,3.0,6666.666666666667
Hebbal Kempapura,3900.0,5.0,360.0,4.0,9230.76923076923
Marathahalli,1200.0,2.0,58.0,2.0,4833.333333333333
Raja Rajeshwari Nagar,1128.0,2.0,48.79,2.0,4325.354609929078
,,,,,
other,900.0,2.0,110.0,2.0,12222.222222222223
Amruthahalli,1100.0,2.0,45.0,2.0,4090.909090909091
Kengeri Satellite Town,635.0,1.0,22.0,2.0,3464.566929133858
Ardendale,2062.0,3.0,140.0,4.0,6789.524733268671
Vidyaranyapura,600.0,3.0,78.0,4.0,13000.0
Old Madras Road,1171.0,2.0,75.0,2.0,6404.782237403928
Sarjapur,2020.0,3.0,85.0,3.0,4207.920792079208
8th Phase JP Nagar,1059.0,2.0,34.5,2.0,3257.790368271955
Panathur,1315.0,2.0,59.1,3.0,4494.296577946768
Jakkur,1760.0,3.0,110.0,3.0,6250.0
other,1200.0,2.0,125.0,2.0,10416.666666666666
Hennur Road,1192.0,2.0,62.0,3.0,5201.342281879195
Whitefield,1250.0,2.0,72.0,2.0,5760.0
,,,,,
Cooke Town,2388.0,4.0,239.0,3.0,10008.375209380234
Hosa Road,1369.1,2.0,104.0,2.0,7596.231100723103
other,1355.0,2.0,75.0,2.0,5535.055350553505
Kanakapura,1938.0,3.0,113.0,3.0,5830.7533539731685
Begur Road,2462.0,4.0,124.0,4.0,5036.555645816409
Budigere,1636.0,3.0,85.0,3.0,5195.59902200489
Akshaya Nagar,1430.0,2.0,75.0,3.0,5244.755244755244
other,2000.0,3.0,85.0,3.0,4250.0
Electronic City Phase II,993.0,2.0,50.0,3.0,5035.246727089628
Laggere,1260.0,4.0,150.0,4.0,11904.761904761905
Kanakpura Road,1700.0,3.0,88.0,3.0,5176.470588235294
Yelahanka,1270.0,2.0,78.0,2.0,6141.7322834645665
Anjanapura,1500.0,3.0,121.0,3.0,8066.666666666667
Koramangala,2300.0,3.0,290.0,3.0,12608.695652173914
other,7500.0,4.0,900.0,4.0,12000.0
Marathahalli,1650.0,3.0,86.45,3.0,5239.393939393939
Panathur,1109.0,2.0,63.0,2.0,5680.793507664563
other,1280.0,2.0,49.75,2.0,3886.71875
Sarjapur,2885.0,3.0,185.0,4.0,6412.478336221837
Banashankari,1200.0,9.0,145.0,9.0,12083.333333333334
Devanahalli,1600.0,3.0,180.0,3.0,11250.0
Kothanur,1462.0,3.0,71.0,3.0,4856.361149110807
Marathahalli,607.0,1.0,35.0,1.0,5766.062602965404
Kammasandra,930.0,2.0,25.0,2.0,2688.1720430107525
Varthur,4500.0,5.0,300.0,4.0,6666.666666666667
Sahakara Nagar,1200.0,5.0,160.0,5.0,13333.333333333334
Malleshwaram,2600.0,3.0,237.0,3.0,9115.384615384615
JP Nagar,3000.0,4.0,140.0,4.0,4666.666666666667
Electronic City Phase II,1418.0,3.0,52.47,3.0,3700.2820874471086
other,4200.0,1.0,160.0,2.0,3809.5238095238096
EPIP Zone,1125.0,2.0,65.0,2.0,5777.777777777777
CV Raman Nagar,1825.0,3.0,126.0,3.0,6904.109589041096
Whitefield,1320.0,2.0,79.5,2.0,6022.727272727273
JP Nagar,3000.0,4.0,140.0,4.0,4666.666666666667
HAL 2nd Stage,1490.0,2.0,300.0,3.0,20134.228187919463
other,1650.0,3.0,300.0,4.0,18181.81818181818
Whitefield,750.0,2.0,52.7,2.0,7026.666666666667
Yelahanka,1400.0,2.0,80.54,3.0,5752.857142857143
other,4104.0,4.0,360.0,4.0,8771.929824561403
Rajaji Nagar,5000.0,4.0,375.0,4.0,7500.0
Mahadevpura,3295.0,4.0,260.0,5.0,7890.743550834598
other,1150.0,3.0,110.0,4.0,9565.217391304348
Whitefield,1200.0,3.0,61.96,3.0,5163.333333333333
Poorna Pragna Layout,965.0,2.0,48.0,2.0,4974.093264248705
Gottigere,812.0,1.0,26.0,1.0,3201.9704433497536
KR Puram,1100.0,2.0,43.0,2.0,3909.090909090909
Whitefield,1180.0,2.0,41.0,2.0,3474.576271186441
HSR Layout,1145.0,2.0,48.0,2.0,4192.139737991266
Haralur Road,1027.0,2.0,44.0,2.0,4284.323271665044
other,1215.0,2.0,49.85,2.0,4102.880658436214
Hegde Nagar,1200.0,2.0,75.0,2.0,6250.0
Kenchenahalli,1015.0,2.0,58.0,2.0,5714.285714285715
Kaggalipura,2400.0,3.0,165.0,3.0,6875.0
Whitefield,3000.0,4.0,306.0,4.0,10200.0
7th Phase JP Nagar,3300.0,4.0,160.0,3.0,4848.484848484848
other,1076.0,2.0,52.0,2.0,4832.71375464684
JP Nagar,1300.0,2.0,109.0,2.0,8384.615384615385
Hebbal Kempapura,1300.0,2.0,102.0,2.0,7846.153846153846
Hosa Road,1512.0,3.0,123.0,3.0,8134.920634920635
Bhoganhalli,1053.4,3.0,88.91,3.0,8440.288589329788
,,,,,
Hormavu,1153.0,2.0,65.0,2.0,5637.467476149176
other,2080.0,2.0,150.0,2.0,7211.538461538462
Hulimavu,1255.0,2.0,69.0,2.0,5498.00796812749
,,,,,
Marathahalli,1583.0,3.0,109.0,3.0,6885.6601389766265
other,1505.0,2.0,90.0,2.0,5980.066445182724
Kathriguppe,1365.0,2.0,75.08,3.0,5500.3663003663005
other,1200.0,3.0,95.75,3.0,7979.166666666667
other,1810.0,4.0,148.0,3.0,8176.795580110497
Magadi Road,440.0,1.0,35.0,1.0,7954.545454545455
Subramanyapura,975.0,2.0,63.0,2.0,6461.538461538462
other,1250.0,2.0,39.0,2.0,3120.0
other,1530.0,2.0,97.0,3.0,6339.869281045751
Kereguddadahalli,1300.0,2.0,39.0,3.0,3000.0
Channasandra,1115.0,2.0,40.0,2.0,3587.4439461883408
Sarjapur  Road,1308.0,2.0,83.0,2.0,6345.565749235474
Parappana Agrahara,1194.0,2.0,47.0,2.0,3936.348408710218
Uttarahalli,1490.0,2.0,59.6,3.0,4000.0
Bannerghatta Road,10000.0,4.0,450.0,4.0,4500.0
Sarjapur  Road,1592.0,3.0,91.0,3.0,5716.08040201005
Rajaji Nagar,1222.0,2.0,112.0,2.0,9165.302782324059
Raja Rajeshwari Nagar,1267.0,2.0,42.85,2.0,3382.004735595896
Balagere,656.0,1.0,53.0,1.0,8079.268292682927
Dodda Nekkundi,3400.0,4.0,530.0,4.0,15588.235294117647
Garudachar Palya,4500.0,5.0,400.0,4.0,8888.888888888889
Chandapura,1200.0,1.0,36.0,2.0,3000.0
Thanisandra,1698.0,3.0,102.0,3.0,6007.067137809187
other,1500.0,3.0,70.0,3.0,4666.666666666667
other,2000.0,5.0,80.0,4.0,4000.0
Electronic City,1152.0,2.0,65.75,2.0,5707.465277777777
Raja Rajeshwari Nagar,550.0,1.0,21.0,1.0,3818.181818181818
Pattandur Agrahara,900.0,2.0,42.0,2.0,4666.666666666667
other,1410.0,2.0,45.12,3.0,3200.0
Akshaya Nagar,1419.0,2.0,73.0,3.0,5144.46793516561
Amruthahalli,1200.0,2.0,55.0,2.0,4583.333333333333
AECS Layout,1800.0,3.0,65.0,3.0,3611.1111111111113
Gottigere,990.0,2.0,40.0,2.0,4040.40404040404
Bannerghatta Road,1100.0,2.0,39.0,2.0,3545.4545454545455
Ramamurthy Nagar,850.0,2.0,65.0,4.0,7647.058823529412
Whitefield,1095.0,2.0,35.0,2.0,3196.3470319634703
other,2000.0,3.0,85.0,3.0,4250.0
Budigere,1444.0,2.0,70.0,2.0,4847.645429362881
Whitefield,1415.0,2.0,67.0,2.0,4734.982332155477
other,1500.0,2.0,130.0,3.0,8666.666666666666
other,1600.0,3.0,72.0,3.0,4500.0
Whitefield,1105.0,2.0,41.36,2.0,3742.9864253393666
Electronic City,1225.0,3.0,45.03,3.0,3675.918367346939
Frazer Town,2560.0,3.0,265.0,3.0,10351.5625
Kanakpura Road,1080.0,2.0,37.8,2.0,3499.9999999999995
Dasarahalli,2400.0,3.0,150.0,7.0,6250.0
Talaghattapura,1856.0,3.0,135.0,3.0,7273.706896551724
Haralur Road,1464.0,3.0,56.0,3.0,3825.136612021858
other,2100.0,6.0,71.0,6.0,3380.9523809523807
Sarjapur  Road,1150.0,2.0,77.0,2.0,6695.652173913043
Abbigere,1200.0,4.0,98.0,5.0,8166.666666666667
,,,,,
5th Phase JP Nagar,1485.0,2.0,67.0,3.0,4511.784511784512
other,2500.0,3.0,75.0,3.0,3000.0
Whitefield,1200.0,2.0,45.0,2.0,3750.0
Hennur Road,1036.0,2.0,59.46,2.0,5739.382239382239
Whitefield,3445.0,5.0,270.0,4.0,7837.44557329463
Bommanahalli,1110.0,2.0,33.0,2.0,2972.972972972973
Kodichikkanahalli,1150.0,2.0,48.0,2.0,4173.913043478261
Kenchenahalli,715.0,1.0,45.0,1.0,6293.706293706294
Magadi Road,1200.0,4.0,130.0,4.0,10833.333333333334
Rajaji Nagar,1200.0,3.0,260.0,5.0,21666.666666666668
Jakkur,2283.0,4.0,130.0,4.0,5694.261936049058
other,1790.0,5.0,250.0,6.0,13966.480446927375
Hormavu,1453.0,2.0,43.58,3.0,2999.3117687543013
Nagarbhavi,1400.0,2.0,85.0,3.0,6071.428571428572
Padmanabhanagar,1400.0,3.0,65.0,3.0,4642.857142857143
Whitefield,1700.0,3.0,140.0,3.0,8235.29411764706
Nagarbhavi,1515.0,2.0,79.0,3.0,5214.521452145214
Marathahalli,2500.0,3.0,200.0,5.0,8000.0
Chandapura,975.0,2.0,24.86,2.0,2549.74358974359
Yeshwanthpur,1382.0,2.0,76.18,3.0,5512.301013024603
Nagasandra,1750.0,5.0,350.0,7.0,20000.0
Sector 1 HSR Layout,1533.0,3.0,150.0,3.0,9784.735812133073
Cunningham Road,3815.0,3.0,763.0,3.0,20000.0
other,1100.0,2.0,38.0,2.0,3454.5454545454545
Dairy Circle,3730.0,6.0,450.0,4.0,12064.343163538873
Banashankari Stage II,1500.0,2.0,120.0,3.0,8000.0
Yelahanka,1391.0,2.0,64.5,3.0,4636.951833213516
Begur Road,1160.0,2.0,42.92,2.0,3700.0
Chandapura,620.0,1.0,27.0,1.0,4354.8387096774195
other,2400.0,9.0,350.0,8.0,14583.333333333334
Vidyaranyapura,1200.0,7.0,130.0,8.0,10833.333333333334
Whitefield,4827.0,4.0,400.0,4.0,8286.720530350114
Kanakpura Road,1482.0,3.0,60.98,3.0,4114.7098515519565
Whitefield,1405.0,2.0,84.5,2.0,6014.234875444839
Gunjur,1190.0,2.0,40.0,2.0,3361.344537815126
Harlur,1174.0,2.0,78.0,2.0,6643.9522998296425
Seegehalli,1155.0,2.0,72.0,2.0,6233.766233766234
Thanisandra,1411.0,3.0,93.04,3.0,6593.905031892275
other,745.0,2.0,50.0,2.0,6711.4093959731545
Kereguddadahalli,1000.0,2.0,30.0,2.0,3000.0
Jigani,923.0,2.0,50.0,2.0,5417.118093174431
Yeshwanthpur,1000.0,2.0,32.0,2.0,3200.0
Battarahalli,1276.0,2.0,45.0,2.0,3526.6457680250783
other,1460.0,3.0,70.0,3.0,4794.520547945205
other,1355.0,2.0,95.0,2.0,7011.070110701107
other,833.0,1.0,49.0,1.0,5882.35294117647
other,1200.0,8.0,275.0,8.0,22916.666666666668
other,1750.0,5.0,450.0,5.0,25714.285714285714
Ramamurthy Nagar,1200.0,2.0,48.0,2.0,4000.0
Yeshwanthpur,669.0,1.0,36.85,1.0,5508.221225710015
7th Phase JP Nagar,2200.0,4.0,105.0,3.0,4772.727272727273
Koramangala,1594.0,3.0,125.0,3.0,7841.907151819322
Kothanur,1790.0,3.0,105.0,3.0,5865.921787709497
NGR Layout,1020.0,2.0,45.0,2.0,4411.764705882353
other,3250.0,5.0,850.0,4.0,26153.846153846152
other,1037.0,2.0,36.28,2.0,3498.553519768563
Whitefield,1345.0,2.0,57.0,3.0,4237.918215613383
Kodichikkanahalli,1070.0,2.0,43.0,2.0,4018.691588785047
other,3000.0,5.0,270.0,4.0,9000.0
Yeshwanthpur,1385.0,2.0,76.18,3.0,5500.3610108303255
Kanakpura Road,1207.0,2.0,79.9,2.0,6619.718309859156
Varthur,1140.0,2.0,55.5,2.0,4868.421052631579
other,1220.0,2.0,68.0,2.0,5573.770491803279
other,3811.0,3.0,475.0,4.0,12463.920230910522
Iblur Village,3596.0,5.0,252.0,4.0,7007.786429365962
Sarjapur  Road,1965.0,3.0,120.0,3.0,6106.8702290076335
Koramangala,1760.0,2.0,115.0,3.0,6534.090909090909
Haralur Road,1225.0,2.0,70.0,2.0,5714.285714285715
Marathahalli,1075.0,2.0,52.43,2.0,4877.209302325581
Panathur,1000.0,2.0,68.0,2.0,6800.0
Hennur Road,1891.0,3.0,109.0,3.0,5764.1459545214175
Yelahanka,1322.0,2.0,86.0,2.0,6505.295007564297
other,1095.0,3.0,215.0,3.0,19634.703196347033
Bellandur,3600.0,4.0,260.0,4.0,7222.222222222223
AECS Layout,1045.0,2.0,36.58,2.0,3500.4784688995214
other,1545.0,3.0,85.0,3.0,5501.6181229773465
Thanisandra,1996.0,3.0,135.0,3.0,6763.527054108216
Brookefield,1125.0,2.0,70.0,2.0,6222.222222222223
Mysore Road,1560.0,3.0,115.0,3.0,7371.794871794872
BEML Layout,2000.0,2.0,85.0,3.0,4250.0
other,780.0,2.0,35.0,2.0,4487.179487179487
other,1350.0,2.0,110.0,2.0,8148.148148148148
Sarjapur  Road,2275.0,4.0,180.0,3.0,7912.087912087912
other,1350.0,2.0,41.0,2.0,3037.037037037037
Haralur Road,1464.0,3.0,56.0,3.0,3825.136612021858
Kanakpura Road,1570.0,3.0,64.5,3.0,4108.28025477707
Dasanapura,708.0,1.0,28.32,1.0,4000.0
